시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202205,4,"8,400",0,12,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202206~202406,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202205,14,500,49,13,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202205,25,"10,000",0,16,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202206~202406,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202205,26,500,50,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202206~202306,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202205,1,300,45,4,2016.0,사임당로 180,128.866138632816,37.7609537440692,202205~202305,신규,-,0,0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,전세,18.66,202205,18,"7,500",0,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,-,-,-,,
강원도 삼척시 남양동,131-16,131,16,드림팰리스,전세,84.03,202205,6,"14,000",0,2,,중앙로 171-34,0.0,0.0,202205~202405,신규,-,0,0
강원도 삼척시 당저동,10-1,10,1,두원밸리,월세,50.98,202205,31,"1,000",45,6,2013.0,사대1길 35-30,129.170180319519,37.4476382438301,202206~202306,신규,-,0,0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,26.25,202205,16,300,40,8,1992.0,번영로 170,128.590027562606,38.2137867008307,202206~202301,신규,-,0,0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,26.25,202205,16,300,33,8,1992.0,번영로 170,128.590027562606,38.2137867008307,202205~202210,신규,-,0,0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202205,2,500,33,11,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202206~202306,신규,-,0,0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202205,21,"5,300",0,7,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단구동,998-2,998,2,대승노블오피스텔,전세,27.34,202205,14,"5,000",0,4,2015.0,남원로534번길 54,127.951902364864,37.3282836665497,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,27.36,202205,16,"10,500",0,4,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202205~202405,갱신,-,"8,500",0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,전세,27.36,202205,20,"10,000",0,6,2019.0,시청로 11,127.922167689326,37.3410528000413,202206~202406,신규,-,0,0
강원도 원주시 반곡동,1905-6,1905,6,강산타워,전세,27.53,202205,25,"9,500",0,5,2017.0,황금로 26,127.989624200132,37.3269173742701,202207~202407,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.06,202205,10,500,45,4,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202301,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.69,202205,11,300,45,5,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202211,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,26.06,202205,14,"9,000",0,6,2016.0,미래로 39,127.988371551751,37.3270503809769,202207~202407,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,26.69,202205,16,"11,000",0,5,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202405,갱신,-,"8,400",0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,27.06,202205,28,"10,000",0,3,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202405,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.06,202205,29,"3,000",25,3,2016.0,미래로 39,127.988371551751,37.3270503809769,-,-,-,,
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,27.06,202205,31,"7,600",0,6,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202407,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202205,1,300,40,9,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202303,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.48,202205,2,"8,500",0,16,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202405,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202205,4,300,40,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202205,9,"8,000",0,10,2016.0,양지로 58,127.984700757702,37.3266167058054,-,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202205,10,300,40,15,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202205,11,500,37,9,2016.0,양지로 58,127.984700757702,37.3266167058054,-,갱신,-,500,35
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202205,12,500,45,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202206~202211,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202205,12,300,45,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202206~202211,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202205,20,500,40,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202205,24,300,40,17,2016.0,양지로 58,127.984700757702,37.3266167058054,202205~202305,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,전세,20.16,202205,6,"7,500",0,18,2020.0,상지대길 9,127.939943772917,37.3689924348819,202206~202406,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202205,15,500,45,19,2020.0,상지대길 9,127.939943772917,37.3689924348819,202205~202305,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202205,26,500,40,7,2020.0,상지대길 9,127.939943772917,37.3689924348819,202205~202405,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,전세,19.91,202205,28,"7,500",0,15,2020.0,상지대길 9,127.939943772917,37.3689924348819,202205~202312,신규,-,0,0
강원도 원주시 일산동,185-1,185,1,두진하트리움시티,월세,24.28,202205,14,500,50,23,2019.0,천사로 189,127.944667896075,37.3511060854175,202207~202307,신규,-,0,0
강원도 원주시 일산동,185-1,185,1,두진하트리움시티,전세,24.28,202205,27,"9,000",0,22,2019.0,천사로 189,127.944667896075,37.3511060854175,202206~202406,갱신,-,500,45
강원도 정선군 고한읍 고한리,36-34,36,34,	(36-34)	,전세,51.35,202205,5,"4,300",0,3,2013.0,고한7길 5-16,128.863317406504,37.1954693511927,-,-,-,,
