시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202212,7,"4,000",0,5,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202212,27,500,50,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202301~202312,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,전세,20.53,202212,13,"8,000",0,4,2016.0,사임당로 180,128.866138632816,37.7609537440692,-,-,-,,
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,20.53,202212,17,300,50,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202302~202402,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202212,23,300,47,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,-,갱신,-,300,45
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202212,30,300,47,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202212~202312,신규,-,0,0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202212,10,300,45,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202301~202401,신규,-,0,0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,월세,18.31,202212,14,100,45,4,,선수촌로63번길 18-15,128.868370233918,37.757804962224,202212~202312,신규,-,0,0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,34.17,202212,16,500,70,13,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202212~202312,갱신,-,500,60
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,20.82,202212,20,500,50,7,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202212~202312,신규,-,0,0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,28.17,202212,22,"1,000",50,10,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202212~202412,신규,-,0,0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202212,6,500,35,7,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202212~202312,신규,-,0,0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202212,2,"9,450",0,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202212,14,500,42,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202301~202401,신규,-,0,0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202212,17,"7,500",0,3,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202212~202412,신규,-,0,0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202212,26,300,47,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202301~202501,신규,-,0,0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202212,28,500,37,4,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202212~202312,신규,-,0,0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,월세,27.36,202212,16,500,40,7,2019.0,시청로 11,127.922167689326,37.3410528000413,202212~202312,신규,-,0,0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,월세,27.36,202212,17,500,45,6,2019.0,시청로 11,127.922167689326,37.3410528000413,202212~202312,신규,-,0,0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,월세,36.48,202212,5,"1,000",55,6,2016.0,혁신로 55,127.980435447449,37.3234325037063,202301~202401,갱신,-,"1,000",53
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,29.64,202212,9,"10,000",0,8,2016.0,혁신로 61,127.980834888995,37.3233936036259,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,29.64,202212,9,"9,500",0,7,2016.0,혁신로 61,127.980834888995,37.3233936036259,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,월세,29.64,202212,27,500,50,8,2016.0,혁신로 61,127.980834888995,37.3233936036259,202301~202401,신규,-,0,0
강원도 원주시 반곡동,1880-4,1880,4,베르지오,전세,32.05,202212,12,"9,500",0,4,2016.0,양지로 8,127.979150688234,37.3251481010741,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,26.69,202212,14,"10,000",0,11,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.06,202212,17,500,45,9,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202401,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.69,202212,17,"2,500",30,6,2016.0,미래로 39,127.988371551751,37.3270503809769,-,-,-,,
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.06,202212,23,500,43,3,2016.0,미래로 39,127.988371551751,37.3270503809769,202212~202311,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.69,202212,27,400,42,11,2016.0,미래로 39,127.988371551751,37.3270503809769,202212~202312,신규,-,0,0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,26.69,202212,31,"9,000",0,14,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,1,300,47,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,3,500,40,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202312,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202212,5,"8,000",0,12,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,10,300,47,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,16,300,47,4,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202303,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202212,19,"8,000",0,6,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202212,21,300,40,8,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202312,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202212,22,"8,500",0,15,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202212,25,300,47,16,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202212,25,300,47,6,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,26,300,50,12,2016.0,양지로 58,127.984700757702,37.3266167058054,202212~202305,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202212,27,300,40,9,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202401,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,28,300,45,12,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202308,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202212,29,300,35,3,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202306,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202212,29,"8,000",0,4,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.48,202212,30,"9,000",0,13,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202212,30,"9,000",0,10,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,33.48,202212,5,"12,500",0,5,2018.0,황금로 34,127.99049077768,37.3270094124264,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,28.08,202212,26,"11,500",0,9,2018.0,황금로 34,127.99049077768,37.3270094124264,202212~202501,신규,-,0,0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,28.08,202212,30,"11,500",0,9,2018.0,황금로 34,127.99049077768,37.3270094124264,202212~202412,신규,-,0,0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,월세,34.74,202212,31,"2,000",50,4,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202401,신규,-,0,0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,월세,27.36,202212,31,"3,000",28,6,2018.0,황금로 34,127.99049077768,37.3270094124264,-,-,-,,
강원도 원주시 반곡동,1882-1,1882,1,팰렉스골드,월세,29.51,202212,24,500,50,5,2017.0,배울로 86,127.9782462848,37.3246072350589,202212~202305,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,3,500,40,4,2020.0,상지대길 9,127.939943772917,37.3689924348819,202212~202312,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,6,300,41,2,2020.0,상지대길 9,127.939943772917,37.3689924348819,202212~202312,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,7,500,42,11,2020.0,상지대길 9,127.939943772917,37.3689924348819,202212~202312,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,10,500,42,13,2020.0,상지대길 9,127.939943772917,37.3689924348819,202302~202502,신규,-,0,0
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,11,500,41,4,2020.0,상지대길 9,127.939943772917,37.3689924348819,202212~202312,갱신,사용,500,40
강원도 원주시 우산동,86-1,86,1,원주퍼스티지더올림,월세,19.91,202212,20,300,40,10,2020.0,상지대길 9,127.939943772917,37.3689924348819,202301~202401,신규,-,0,0
강원도 원주시 지정면 신평리,1112-4,1112,4,(1112-4),월세,28.29,202212,20,300,45,6,2018.0,기업도시로 6,127.892632923887,37.3785635606122,202301~202401,신규,-,0,0
강원도 정선군 고한읍 고한리,36-34,36,34,	(36-34)	,전세,51.35,202212,29,"4,500",0,4,2013.0,고한7길 5-16,128.863317406504,37.1954693511927,-,-,-,,
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,37.37,202212,2,500,65,20,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,36.78,202212,3,300,35,13,2019.0,공지로 453,127.717086533303,37.8738301140102,202301~202312,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,6,500,45,4,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,7,300,39,5,2019.0,공지로 453,127.717086533303,37.8738301140102,-,-,-,,
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,9,300,45,17,2019.0,공지로 453,127.717086533303,37.8738301140102,-,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,37.37,202212,12,"11,550",15,17,2019.0,공지로 453,127.717086533303,37.8738301140102,202301~202501,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,13,500,35,5,2019.0,공지로 453,127.717086533303,37.8738301140102,-,-,-,,
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,17,300,37,11,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,17,300,38,9,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202412,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,19,300,43,11,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,26,300,42,15,2019.0,공지로 453,127.717086533303,37.8738301140102,202301~202401,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,전세,18.75,202212,29,"7,000",0,12,2019.0,공지로 453,127.717086533303,37.8738301140102,202301~202501,신규,-,0,0
강원도 춘천시 근화동,267-9,267,9,엘타워 2차 오피스텔,월세,18.75,202212,31,500,38,8,2019.0,공지로 453,127.717086533303,37.8738301140102,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,전세,20.19,202212,10,"7,500",0,10,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202412,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,38.47,202212,11,"1,000",60,4,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202412,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,38.47,202212,13,500,55,13,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,45.17,202212,13,"1,000",65,5,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202312,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,37.56,202212,17,"2,000",50,12,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202412,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,38.47,202212,19,500,60,4,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202412,신규,-,0,0
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,전세,32.66,202212,20,"9,500",0,15,2018.0,공지로 455,127.716582914981,37.8739584999907,-,-,-,,
강원도 춘천시 근화동,267-1,267,1,춘천 L-타워,월세,32.66,202212,22,500,48,16,2018.0,공지로 455,127.716582914981,37.8739584999907,202212~202312,신규,-,0,0
