시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202301,8,500,50,9,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,갱신,-,500,48.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202301,11,"8,400",0,15,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202301~202501,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202301,21,300,50,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202302~202402,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202301,2,300,47,4,2016.0,사임당로 180,128.866138632816,37.7609537440692,202301~202401,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202301,30,300,47,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202302~202402,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202301,31,300,44,5,2016.0,사임당로 180,128.866138632816,37.7609537440692,202301~202401,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202301,3,300,47,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202301~202401,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202301,12,300,47,5,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202301~202404,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,전세,21.48,202301,20,"7,500",0,5,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202302~202402,신규,-,0,0.0
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,36.18,202301,6,300,35,10,2005.0,중앙로 190,128.593132294909,38.2073553904467,202301~202501,신규,-,0,0.0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,41.32,202301,2,"2,000",75,7,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202301~202401,신규,-,0,0.0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,28.22,202301,19,500,60,6,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202302~202402,신규,-,0,0.0
강원도 원주시 단계동,777-4,777,4,(777-4),전세,67.11,202301,16,"14,500",0,4,2017.0,천사로 106,127.936656875746,37.3485556397276,202301~202401,갱신,사용,"14,500",0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,29.25,202301,5,300,40,10,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202301~202401,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202301,30,500,35,8,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202302~202402,신규,-,0,0.0
강원도 원주시 무실동,1722-8,1722,8,(1722-8),월세,49.2,202301,27,500,62,3,2015.0,로아노크로 50,127.925018295595,37.3409039540221,202302~202402,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202301,4,"8,200",0,3,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202502,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202301,10,500,47,6,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202402,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,27.36,202301,10,"8,900",0,6,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202501,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202301,12,"7,700",0,2,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202502,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202301,17,500,50,2,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202301~202401,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,36.4,202301,19,"13,000",0,3,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202502,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,27.36,202301,30,500,33,6,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202502,신규,-,0,0.0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,월세,27.36,202301,25,"3,000",26,5,2019.0,시청로 11,127.922167689326,37.3410528000413,-,-,-,,
강원도 원주시 반곡동,1905-6,1905,6,강산타워,월세,27.53,202301,4,300,43,4,2017.0,황금로 26,127.989624200132,37.3269173742701,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-6,1905,6,강산타워,월세,27.53,202301,7,500,45,7,2017.0,황금로 26,127.989624200132,37.3269173742701,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,전세,29.64,202301,6,"10,500",0,5,2016.0,혁신로 55,127.980435447449,37.3234325037063,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,전세,29.64,202301,17,"10,500",0,8,2016.0,혁신로 55,127.980435447449,37.3234325037063,202303~202402,신규,-,0,0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,29.64,202301,8,"10,000",0,4,2016.0,혁신로 61,127.980834888995,37.3233936036259,202301~202501,갱신,-,"9,500",0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,월세,29.64,202301,11,500,47,4,2016.0,혁신로 61,127.980834888995,37.3233936036259,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,36.48,202301,14,"12,000",0,6,2016.0,혁신로 61,127.980834888995,37.3233936036259,202302~202502,신규,-,0,0.0
강원도 원주시 반곡동,1880-4,1880,4,베르지오,월세,31.14,202301,28,500,48,4,2016.0,양지로 8,127.979150688234,37.3251481010741,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,26.06,202301,5,"9,000",0,4,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,27.06,202301,7,300,40,3,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,27.06,202301,11,"10,000",0,11,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,27.06,202301,14,500,50,5,2016.0,미래로 39,127.988371551751,37.3270503809769,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,26.69,202301,30,500,45,9,2016.0,미래로 39,127.988371551751,37.3270503809769,202302~202402,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202301,2,300,40,6,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202301,2,300,40,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202302~202402,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202301,6,300,40,12,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.48,202301,7,"8,800",0,17,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202301,9,"8,500",0,13,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202301,25,300,38,4,2016.0,양지로 58,127.984700757702,37.3266167058054,202302~202401,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202301,27,500,40,16,2016.0,양지로 58,127.984700757702,37.3266167058054,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.48,202301,28,"8,000",0,9,2016.0,양지로 58,127.984700757702,37.3266167058054,202302~202502,신규,-,0,0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,월세,27.36,202301,4,500,45,13,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,34.74,202301,5,"11,500",0,9,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202501,갱신,-,"11,000",0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,33.48,202301,9,"12,500",0,10,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202501,신규,-,0,0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,월세,27.36,202301,10,500,42,5,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202401,신규,-,0,0.0
강원도 원주시 반곡동,1905-9,1905,9,파크팰리스,전세,27.36,202301,13,"11,500",0,4,2018.0,황금로 34,127.99049077768,37.3270094124264,202301~202501,신규,-,0,0.0
