시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202204,4,"10,000",0,11,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202204,4,"10,000",0,11,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202204,20,300,50,13,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202204~202304,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202204,23,500,50,7,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202204~202304,신규,-,0,0.0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,전세,21.42,202204,1,"8,000",0,6,,선수촌로63번길 18-15,128.868370233918,37.757804962224,202204~202404,신규,-,0,0.0
강원도 속초시 교동,658-42,658,42,속초 교동 블루핀,전세,19.97,202204,5,"5,000",0,2,2019.0,교동로1길 17,128.581462084942,38.2010228316772,-,-,-,,
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,38.01,202204,20,500,40,5,2005.0,중앙로 190,128.593132294909,38.2073553904467,202204~202304,신규,-,0,0.0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,26.95,202204,19,300,30,13,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 속초시 영랑동,148-9,148,9,설악비치리조텔,월세,31.88,202204,7,300,40,9,1991.0,중앙로 346,128.591878190144,38.2192972053408,202204~202304,신규,-,0,0.0
강원도 속초시 영랑동,148-9,148,9,설악비치리조텔,월세,31.88,202204,30,300,35,6,1991.0,중앙로 346,128.591878190144,38.2192972053408,202205~202405,신규,-,0,0.0
강원도 속초시 조양동,1429-1,1429,1,신영 HI-LIFE 오피스텔,전세,26.25,202204,21,"5,000",0,8,1992.0,해오름로 199,128.601069163723,38.1900327188302,-,-,-,,
강원도 원주시 단계동,777-4,777,4,(777-4),전세,69.68,202204,3,"12,600",0,7,2017.0,천사로 106,127.936656875746,37.3485556397276,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202204,4,300,35,6,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202204~202304,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,29.25,202204,6,"1,000",33,11,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202204,16,"5,500",0,8,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 무실동,1722-8,1722,8,(1722-8),전세,55.44,202204,9,"10,000",0,5,2015.0,로아노크로 50,127.925018295595,37.3409039540221,202205~202405,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,27.36,202204,18,"10,000",0,2,2018.0,시청로 89-16,127.930003669947,37.3375208085751,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202204,30,"3,000",36,6,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202205~202405,신규,-,0,0.0
강원도 원주시 반곡동,1905-6,1905,6,강산타워,월세,27.53,202204,7,500,45,7,2017.0,황금로 26,127.989624200132,37.3269173742701,202204~202304,신규,-,0,0.0
강원도 원주시 반곡동,1905-6,1905,6,강산타워,월세,27.53,202204,26,200,50,4,2017.0,황금로 26,127.989624200132,37.3269173742701,202205~202208,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,월세,29.64,202204,15,500,50,4,2016.0,혁신로 55,127.980435447449,37.3234325037063,202204~202210,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,전세,29.64,202204,20,"10,395",0,5,2016.0,혁신로 55,127.980435447449,37.3234325037063,202205~202405,-,-,,
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,29.64,202204,14,"9,200",0,6,2016.0,혁신로 61,127.980834888995,37.3233936036259,202206~202306,갱신,-,"8,800",0.0
강원도 원주시 반곡동,1886-3,1886,3,골든스퀘어2차,전세,29.64,202204,26,"9,500",0,8,2016.0,혁신로 61,127.980834888995,37.3233936036259,202207~202407,갱신,사용,"9,500",0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,27.06,202204,8,"10,000",0,11,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202405,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,전세,27.06,202204,21,"9,000",0,12,2016.0,미래로 39,127.988371551751,37.3270503809769,202205~202405,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202204,2,300,45,4,2016.0,양지로 58,127.984700757702,37.3266167058054,202204~202209,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202204,2,300,40,6,2016.0,양지로 58,127.984700757702,37.3266167058054,202204~202304,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202204,6,300,40,11,2016.0,양지로 58,127.984700757702,37.3266167058054,202204~202304,갱신,-,300,35.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202204,9,300,40,7,2016.0,양지로 58,127.984700757702,37.3266167058054,202204~202301,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.48,202204,13,500,37,15,2016.0,양지로 58,127.984700757702,37.3266167058054,-,갱신,-,500,35.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,월세,22.37,202204,13,300,60,16,2016.0,양지로 58,127.984700757702,37.3266167058054,202204~202304,신규,-,0,0.0
