시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,2,500,47,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202207~202307,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,3,500,50,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202206~202406,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,10,100,18,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,10,300,17,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,22,"7,000",4,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,25,"7,000",4,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,25,"7,000",4,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,27,"7,000",4,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202206,29,"7,000",4,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,전세,21.66,202206,4,"8,000",0,5,2016.0,사임당로 180,128.866138632816,37.7609537440692,202207~202407,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202206,11,300,45,4,2016.0,사임당로 180,128.866138632816,37.7609537440692,202207~202406,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202206,22,300,45,4,2016.0,사임당로 180,128.866138632816,37.7609537440692,202206~202306,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202206,22,300,45,2,2016.0,사임당로 180,128.866138632816,37.7609537440692,202207~202307,신규,-,0,0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,전세,21.66,202206,24,"8,000",0,5,2016.0,사임당로 180,128.866138632816,37.7609537440692,202207~202407,신규,-,0,0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,47.83,202206,28,500,75,7,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202207~202307,신규,-,0,0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,47.83,202206,29,500,85,14,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202207~202307,신규,-,0,0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,47.83,202206,29,500,85,14,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202207~202307,신규,-,0,0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202206,1,300,45,5,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202206~202306,갱신,-,300,45
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202206,7,300,47,4,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202206~202212,신규,-,0,0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202206,23,300,45,3,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202207~202307,신규,-,0,0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,월세,18.31,202206,2,200,40,5,,선수촌로63번길 18-15,128.868370233918,37.757804962224,-,신규,-,0,0
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,38.01,202206,3,"1,000",40,8,2005.0,중앙로 190,128.593132294909,38.2073553904467,202206~202306,신규,-,0,0
강원도 속초시 동명동,466-42,466,42,설악 센트리움,월세,64.4,202206,13,"1,000",65,4,2005.0,중앙로 190,128.593132294909,38.2073553904467,202207~202407,신규,-,0,0
