시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202302,7,"8,900",0,10,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202302~202502,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202302,9,300,50,4,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202302~202402,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202302,9,500,41,13,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202303~202403,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202302,16,500,50,11,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202302~202402,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202302,20,"10,500",0,17,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202303~202503,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202302,26,"9,000",0,15,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202302,3,300,48,7,2016.0,사임당로 180,128.866138632816,37.7609537440692,202302~202402,신규,-,0,0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,전세,23.58,202302,7,"7,500",0,2,2016.0,사임당로 180,128.866138632816,37.7609537440692,-,-,-,,
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,21.66,202302,24,300,47,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202302~202402,신규,-,0,0.0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,25.33,202302,2,500,50,5,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202302~202402,신규,-,0,0.0
강원도 강릉시 홍제동,1018-2,1018,2,골드팰리스,월세,21.48,202302,7,300,48,7,2016.0,선수촌로 79-29,128.866954207811,37.7577518288549,202302~202502,신규,-,0,0.0
강원도 강릉시 홍제동,1019-3,1019,3,푸르벨라 2차,월세,21.42,202302,6,300,47,6,,선수촌로63번길 18-15,128.868370233918,37.757804962224,202302~202402,신규,-,0,0.0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,26.25,202302,11,300,30,3,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,전세,28.15,202302,1,"10,000",0,13,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202302~202502,신규,-,0,0.0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,전세,28.43,202302,7,"11,000",0,13,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202302~202502,신규,-,0,0.0
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,전세,28.22,202302,22,"10,000",0,13,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202303~202503,신규,-,0,0.0
강원도 원주시 단계동,777-4,777,4,(777-4),전세,63.36,202302,17,"13,000",0,2,2017.0,천사로 106,127.936656875746,37.3485556397276,202304~202504,갱신,사용,"13,000",0.0
강원도 원주시 단계동,777-4,777,4,(777-4),전세,63.91,202302,20,"13,000",0,3,2017.0,천사로 106,127.936656875746,37.3485556397276,202303~202503,갱신,사용,"13,000",0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202302,10,"5,000",0,6,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202302,20,"5,000",0,10,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 무실동,1722-8,1722,8,(1722-8),전세,54.4,202302,20,"9,500",0,4,2015.0,로아노크로 50,127.925018295595,37.3409039540221,202303~202503,신규,-,0,0.0
강원도 원주시 무실동,1722-8,1722,8,(1722-8),월세,49.2,202302,22,500,55,4,2015.0,로아노크로 50,127.925018295595,37.3409039540221,202303~202403,신규,-,0,0.0
강원도 원주시 무실동,1724-1,1724,1,매머드시티2차,전세,27.84,202302,2,"9,000",0,4,2017.0,시청로 11-1,127.922409897196,37.3414341967854,202302~202502,신규,-,0,0.0
강원도 원주시 무실동,1724-1,1724,1,매머드시티2차,월세,27.84,202302,21,500,45,3,2017.0,시청로 11-1,127.922409897196,37.3414341967854,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,27.36,202302,2,500,44,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202402,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202302,3,500,45,7,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202402,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202302,4,500,55,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202303~202403,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202302,8,"9,500",0,6,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202302~202502,신규,-,0,0.0
