시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202209,1,"8,000",0,7,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202409,갱신,사용,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202209,8,"9,000",0,17,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202409,갱신,사용,"9,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202209,15,"8,400",0,11,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202309,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202209,17,"7,000",1,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202309,갱신,사용,"7,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202209,19,300,47,16,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202211~202311,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202209,23,"8,000",2,5,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202211~202411,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202209,26,"8,400",0,16,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202210~202410,갱신,사용,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202209,27,"8,400",0,15,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202210~202410,갱신,사용,"8,000",0.0
강원도 삼척시 원당동,71,71,0,	(71)	,전세,83.95,202209,30,"11,000",0,9,2015.0,원당로2길 35,129.153148028635,37.438451283838,202209~202402,갱신,-,"11,000",0.0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,30.0,202209,10,300,30,6,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,전세,26.25,202209,27,"5,000",0,3,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,전세,30.0,202209,29,"6,000",0,8,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 속초시 조양동,1411-146,1411,146,속초 조양 코아루 아리스타,월세,20.82,202209,25,500,50,13,2021.0,동해대로 4008,128.596351412621,38.1904622515331,202210~202310,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202209,2,"5,000",0,12,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202209,14,"5,000",0,5,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 단구동,998-2,998,2,대승노블오피스텔,전세,31.26,202209,2,"6,000",0,5,2015.0,남원로534번길 54,127.951902364864,37.3282836665497,-,-,-,,
강원도 원주시 무실동,1721-1,1721,1,엠시티,월세,27.26,202209,2,500,45,4,2019.0,만대로 21,127.923082007667,37.341986582538,202209~202409,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,27.36,202209,6,100,16,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202209,22,500,45,4,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202210~202310,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202209,24,500,38,2,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202210~202310,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202209,30,500,41,4,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202210~202410,신규,-,0,0.0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,월세,27.36,202209,29,500,45,6,2019.0,시청로 11,127.922167689326,37.3410528000413,202210~202309,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,월세,29.64,202209,16,500,48,7,2016.0,혁신로 55,127.980435447449,37.3234325037063,202210~202306,신규,-,0,0.0
강원도 원주시 반곡동,1905-1,1905,1,이노팰리스,월세,27.06,202209,7,500,50,14,2016.0,미래로 39,127.988371551751,37.3270503809769,202209~202305,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202209,5,"8,000",0,17,2016.0,양지로 58,127.984700757702,37.3266167058054,202209~202409,신규,-,0,0.0
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202209,17,"7,500",0,13,2016.0,양지로 58,127.984700757702,37.3266167058054,202209~202407,-,-,,
강원도 원주시 반곡동,1897-4,1897,4,코아루시티,전세,22.37,202209,20,"8,000",0,14,2016.0,양지로 58,127.984700757702,37.3266167058054,202210~202410,신규,-,0,0.0
