시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,longitude,latitude,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,5,"8,000",1,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202411,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,6,300,50,8,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202210~202410,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,10,200,29,12,2020.0,강릉대로 285,128.899710580663,37.7627747689143,-,-,-,,
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,13,500,50,4,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202308,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202208,19,"11,550",0,17,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202408,갱신,-,"11,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,24,"8,000",1,6,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202409,신규,-,0,0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,28,"8,000",2,12,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202408,갱신,-,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202208,29,"8,400",0,12,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202210~202410,갱신,-,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202208,29,"8,400",0,13,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202209~202409,갱신,사용,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,전세,22.0,202208,29,"8,400",0,13,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202210~202410,갱신,-,"8,000",0.0
강원도 강릉시 교동,140-16,140,16,강릉역 블루핀,월세,22.0,202208,31,"8,000",1,9,2020.0,강릉대로 285,128.899710580663,37.7627747689143,202208~202409,갱신,-,"8,000",0.0
강원도 강릉시 유천동,776-4,776,4,유천올림피아오피스텔,월세,25.1,202208,31,300,47,3,2016.0,사임당로 180,128.866138632816,37.7609537440692,202209~202309,신규,-,0,0.0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,25.33,202208,8,500,50,12,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202208~202308,신규,-,0,0.0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,47.83,202208,19,500,85,12,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202208~202308,신규,-,0,0.0
강원도 강릉시 포남동,1278-183,1278,183,(1278-183),월세,25.33,202208,29,500,50,3,2018.0,경강로2326번길 10,128.915786090746,37.7675222977991,202208~202308,신규,-,0,0.0
강원도 삼척시 당저동,11-1,11,1,풍경뉴월드,전세,77.82,202208,2,"10,000",0,3,2014.0,사대1길 35-37,129.169822472222,37.4475870730496,202209~202409,신규,-,0,0.0
강원도 속초시 영랑동,231-2,231,2,동진리조트 오피스텔,월세,30.0,202208,5,300,35,3,1992.0,번영로 170,128.590027562606,38.2137867008307,-,-,-,,
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202208,13,500,37,6,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202208~202308,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,월세,23.63,202208,19,500,37,9,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,202208~202308,신규,-,0,0.0
강원도 원주시 단계동,853-1,853,1,이룸레지던스,전세,23.63,202208,25,"5,500",0,6,2007.0,북원로 2235-12,127.930827399892,37.3458392868454,-,-,-,,
강원도 원주시 무실동,1724-1,1724,1,매머드시티2차,월세,27.84,202208,4,500,50,4,2017.0,시청로 11-1,127.922409897196,37.3414341967854,202208~202308,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,25.25,202208,2,500,42,7,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202208~202308,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202208,9,"10,000",0,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202209~202409,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202208,16,"7,300",0,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,27.36,202208,16,"10,000",0,7,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202208~202408,신규,-,0,0.0
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,전세,25.25,202208,16,"7,300",0,5,2018.0,시청로 89-16,127.930003669947,37.3375208085751,-,-,-,,
강원도 원주시 무실동,1736-3,1736,3,원주무실코아루허브288,월세,27.36,202208,24,500,50,2,2018.0,시청로 89-16,127.930003669947,37.3375208085751,202210~202310,신규,-,0,0.0
강원도 원주시 무실동,1721-6,1721,6,채움플러스 무실1차,전세,27.36,202208,11,"10,000",0,7,2019.0,시청로 11,127.922167689326,37.3410528000413,202208~202408,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,월세,29.64,202208,1,500,45,6,2016.0,혁신로 55,127.980435447449,37.3234325037063,202208~202308,신규,-,0,0.0
강원도 원주시 반곡동,1886-2,1886,2,골든스퀘어1차,월세,29.64,202208,5,"4,000",30,8,2016.0,혁신로 55,127.980435447449,37.3234325037063,-,-,-,,
