학교구분,학교명,본분교,지역,주소,geometry
대학,고려대학교(세종),분교,세종,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스) ",[127.291002698042 36.6116946201537]
대학,고신대학교,본교,부산,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교) ",[129.062181859243 35.0794694244323]
대학,가톨릭관동대학교,본교,강원,"강원도 강릉시 범일로579번길 24 (내곡동, 가톨릭관동대학교) ",[128.873704579557 37.7373287772102]
대학,광신대학교,본교,광주,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교) ",[126.884836430774 35.2160186500036]
대학,광운대학교,본교,서울,"서울특별시 노원구 광운로 20 (월계동, 광운대학교) ",[127.058338066917 37.6193203481648]
대학,광주가톨릭대학교,본교,전남,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교) ",[126.863886747018 35.0154351829836]
대학,광주여자대학교,본교,광주,광주광역시 광산구 광주여대길 40 (산정동) ,[126.796464879132 35.1631363940803]
대학,국민대학교,본교,서울,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) ",[126.998520644814 37.6102878430906]
대학,강서대학교,본교,서울,"서울특별시 강서구 까치산로24길 47 (화곡동, 케이씨대학교) ",[126.854156524867 37.5486853052598]
대학,극동대학교,본교,충북,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교) ",[127.641870971257 37.1282549251378]
대학,나사렛대학교,본교,충남,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교) ",[127.119477919956 36.7983475274385]
대학,단국대학교,본교,경기,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교) ",[127.132535935195 37.3211938747541]
대학,대구대학교,본교,경북,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스) ",[128.842813264293 35.904538973767]
대학,대구예술대학교,본교,경북,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교) ",[128.508091368043 36.0314193188668]
